"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特表2018-507830","特願2017-542170","2016/02/11","2016/08/18","注文実行においてロボットを使用して人間を支援するシステム及び方法","ファーガスン，マイケル,ワイズ，メロニー","B65G1/137@G,B25J5/00@A,G06Q10/08,330,G06Q10/087","(57)【要約】
注文実行において１つ以上のロボットを使用して人間を支援するシステムは、注文商品を含む注文を受信するように構成されたサーバ、サーバに動作可能に接続された在庫ストレージであって、在庫商品を有する在庫ストレージ、サーバに動作可能に接続された注文ロボットであって、在庫商品から注文商品を取り出す人間を支援するように構成された注文ロボット、並びにサーバ、在庫ストレージ及び注文ロボットのうちの１つ以上に動作可能に接続された人間操作型装置であって、注文商品を取り出す人間を支援するように構成された人間操作型装置を含む。
【選択図】図１Ａ
","特表2018-507830","","特許6902471","拒絶2019-013580","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-507830/11/ja"
"特表2018-505788","特願2017-557268","2016/01/05","2016/08/04","記憶媒体、ロボット動作を計画する方法、ロボット動作を計画するハードウェア、及びロボット","デューク・ユニバーシティ","B25J9/22@A","(57)【要約】
専用ロボットの動作を計画するハードウェアおよびその作製方法と使用方法を提供する。ロボットの衝突ジオメトリ、ロボットの各関節の自由度、およびロボットの関節制限を含むロボット記述を受信し、シナリオ記述を受信し、そのロボット記述とシナリオ記述を用いて確率的ロードマップ（ＰＲＭ）生成し、そのＰＲＭのエッジ毎に、そのエッジに衝突する障害物の全部分を示す回路を備える衝突検出部を作成するツールを用いて、そのロボットに特化したハードウェアを設計することができる。このハードウェアは、目標位置までの経路を導出するために検索されるＰＲＭからエッジを除去するのに用いられる衝突検出結果を提供する複数の並行する衝突検出部として実現される。
【選択図】図６
","特表2018-505788","","特許6598090","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-505788/11/ja"
"特開2016-124038","特願2014-264233","2014/12/26","2016/07/11","電動グリッパ装置","株式会社ＴＡＩＹＯ","B25J15/08@A,B25J15/08@H","(57)【要約】
【課題】小型であり、かつ簡易な構成でありながら直線ガイドを用いることなく把持部材を直線運動させるようにする。
【解決手段】モータ2と、モータ2のモータ軸2aの回転を伝達する歯車機構11,12,13が内蔵された本体部3と、歯車機構11,12,13を介して回転駆動され互いの回転方向が逆向き状態になるよう本体部3の外側に本体部3を間に挟んで対向配置された２つの第１腕部21,31と、２つの第１腕部21,31の先端部21b,31bと回動自在にその基端部22a,32aが支持された２つの第２腕部22,32と、２つの第２腕部22,32の先端部22b,32b同士を互いに回動自在に連結した連結ピン37と、連結ピン37に固定された第１把持部40と、第１把持部40から所定距離だけ離れた本体部3上の第１把持部40と対向する位置に固定され、第１把持部40との間でワークを把持する第２把持部50とを備えるようにする。
【選択図】図１
","特開2016-124038","","特許6309889","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-124038/11/ja"
"特開2016-093861","特願2014-230463","2014/11/13","2016/05/26","電動グリッパ装置","株式会社ＴＡＩＹＯ","B25J15/08@C,B25J15/08@H","(57)【要約】
【課題】小型であり、かつ簡易な構成でありながら直線ガイドを用いることなく把持部材を移動させることを可能とする。
【解決手段】モータギア11の回転により第１ギア12および第２ギア13が対向配置された状態で互いに逆方向に回転したとき、第１ギア12にその基端部15aが固定された第１駆動アーム15と、第２ギア13にその基端部16aが固定された第２駆動アーム16とが、それぞれ第１従動アーム21および第２従動アーム22を介して互いに近接または離反するように回転するため、当該第１駆動アーム15に回動自在に支持された一方の把持部材3と、第２駆動アーム16に回動自在に支持された他方の把持部材4とを互いに近接または離反するように移動させることができる。
【選択図】図２
","特開2016-093861","","特許6374303","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-093861/11/ja"
"特開2016-074075","特願2014-207952","2014/10/09","2016/05/12","把持装置","ＴＨＫ株式会社","B25J15/08@D,B65B43/28@A,B25J15/06@F,B25J15/08@C","(57)【要約】
【課題】自動の製品袋詰め装置において、既存品である外装袋を把持すると共に、該外装袋の口元を広げて製品を袋詰めしやすくする袋詰め装置に用いられる把持ハンドを提供する。
【解決手段】先端が互いに離間および近接するように開閉自在に組みつけられた一対の開閉部を備える把持ハンドであって、前記開閉部は、対象物を把持する把持部と、対象物を吸着保持する吸着部とを備える。
【選択図】図４
","特開2016-074075","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-074075/11/ja"
"特開2016-055393","特願2014-184840","2014/09/11","2016/04/21","電動グリッパ装置","株式会社ＴＡＩＹＯ","B25J15/08@H","(57)【要約】
【課題】小型であり、かつ簡易な構成でありながら直線ガイドを用いることなく把持部材を直線運動させ、そのストローク範囲を長くする。
【解決手段】主アーム5と平行な状態で第１腕部10および第２腕部20に対して回動自在に副アーム7が支持され、モータ軸2aの回転により主アーム5が回動されることに応じて当該第１腕部10および第２腕部20が互いの平行状態を維持したまま近接離反することができるので、直線ガイドを使用することなく、かつ、大型化することなく簡易な構成でありながら第１腕部10および第２腕部20を直線運動させるとともに、主アーム5および副アーム7を長く設定するだけでワークwkを保持または解放する際のストローク範囲を一段と長くすることができる。
【選択図】図１
","特開2016-055393","","特許6267610","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-055393/11/ja"
"特開2016-055384","特願2014-183983","2014/09/10","2016/04/21","電動グリッパ装置","株式会社ＴＡＩＹＯ","B25J15/08@H","(57)【要約】      （修正有）
【課題】小型でありながら、そのストローク範囲の長いる電動グリッパ装置を提供する。
【解決手段】互いに同期回転するように噛合された2枚の歯車4A,4Bと、2枚の歯車4A,4Bを支持する本体部3と、2枚の歯車4A,4Bの何れかと駆動連結されたモータ2と、2枚の歯車4A,4Bの回転軸2a,12aにそれぞれ第1アーム基端部6a,16aが固定された2つの第1アーム6,16と、2つの第1アーム6,16の第1アーム先端部6b,16bにおいてそれぞれ回動ピン7,17を介して回動自在にその把持部材基端部8a,28aが支持された2つの把持部材8,28と、その第2アーム基端部10b,20bが本体部3に回動自在に支持されるとともに、2つの第1アーム6,16との平行状態が形成されるように2つの把持部材8,28にその第2アーム先端部10a,20aが回動自在に支持された2つの第2アーム10,20とを備えるようにする。
【選択図】図１
","特開2016-055384","","特許6371173","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-055384/11/ja"
"特表2017-531182","特願2017-514833","2015/07/13","2016/03/24","静電容量センサ","ローベルト　ボツシユ　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング","G01B7/00,102@C,B25J19/02,H03K17/955@A","(57)【要約】
  本発明は、対象物の接近を平面的に検出するための静電容量センサに関し、当該静電容量センサは、曲げ剛性体及び／又は捩り剛性体に形成されている。静電容量センサは、好ましくは回路担体及び／又はスペーサ要素及び／又は支持体を含む。この場合、回路担体は曲げ剛性体及び／又は捩り剛性体に形成されている、及び／又は、スペーサ要素は曲げ剛性体及び／又は捩り剛性体に形成されている、及び／又は、支持体は曲げ剛性体及び／又は捩り剛性体に形成されている。回路担体は、好ましくは基板として形成されており、静電容量センサの導電面の電気的コンタクトのために使用される。スペーサ要素は、導電面と回路担体との間に配置されている。支持体は、静電容量センサを機械部品に、特に産業用ロボットの機械部品に結合させるために構成されている。
","特表2017-531182","","特許6419317","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-531182/11/ja"
"特開2016-030302","特願2014-152582","2014/07/28","2016/03/07","電動グリッパ装置","株式会社ＴＡＩＹＯ","B25J15/08@A,B25J15/08@C","(57)【要約】
【課題】大型化することなく簡易な構成でありながら把持部材のストローク範囲を長くすることのできる電動グリッパ装置を提案する。
【解決手段】互いに同期回転するように噛合された２枚の同期歯車（１０、２０）と、前記２枚の同期歯車（１０、２０）の何れかと駆動連結された駆動モータ（２）と、前記２枚の同期歯車（１０、２０）と一体になって回転するよう固定された２つの短アーム（６、２３）と、前記２つの短アーム（６、２３）の先端部において第１の連結軸（７、２７）を介してそれぞれ回動自在にその基端部が支持された２つの長アーム（１２、２４）と、前記２つの長アーム（１２、２４）の先端部同志を互いに回動自在に連結した第２の連結軸（３２）と、前記第２の連結軸（３２）に回動自在に支持された把持部材（ＨＲ）とを備えるようにする。
【選択図】図１
","特開2016-030302","","特許6267597","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-030302/11/ja"
"特表2017-526397","特願2016-572660","2015/06/12","2015/12/17","細長可撓性医療機器を案内するロボット化モジュール","ロボキャス","A61B34/32,B25J3/00@Z,A61B34/35,A61B1/00,655,A61B1/313,510,A61M25/082,500,A61B34/30,A61M25/08,500","(57)【要約】
  細長可撓性医療機器を作動させるロボット化モジュールは、作動配置状態または自由配置状態の一対（３３）の作動部材（２４、２４’）を備える。一対（３３）の作動部材（２４、２４’）は、第１の位置と第２の位置との間で移動可能である。制御部材（１８、１１）は、作動配置状態の場合に作動部材（２４、２４’）を第１の位置から第２の位置まで動かし、自由配置状態の場合には第２の位置から第１の位置まで動かすように、繰り返し周期的に作用する。
【選択図】図９ｅ
","特表2017-526397","","特許6785665","拒絶2020-007239","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-526397/11/ja"
"特表2017-518818","特願2016-572282","2015/06/12","2015/12/17","細長可撓性医療機器を案内するロボット化モジュール","ロボキャス","A61B34/35,B25J19/00@A,A61B34/30","(57)【要約】
  本発明は、無菌バリア（３９）を備えたカセットに関する。無菌バリア（３９）は、細長可撓性医療機器を駆動する駆動部材（２４、２４’）にそれぞれ取り付けられた取り付けブラケット（４５）および２つの隣接する取り付けブラケット（４５）間の可撓部（４４）を備える。可撓部は、取り付けブラケットに接続されている。取り付けブラケットの駆動面（４６）は、細長可撓性医療機器に接触する。
【選択図】図１０
","特表2017-518818","","特許6783148","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-518818/11/ja"
"特表2017-517297","特願2016-564007","2014/12/08","2015/10/29","ロボットインターフェース位置調整決定システムおよび方法","コヴィディエン　リミテッド　パートナーシップ","A61B34/35,B25J13/08@Z,B25J13/08@A","(57)【要約】
本開示は、ロボットアームと一対のジョー部材を伴うエンドエフェクタとを有するロボット外科手術デバイスを含むロボット外科手術システムを対象とする。ハンドピースは、ピンチインターフェースを含み、アームまたはエンドエフェクタ、光学マーカ、加速度計、および送信機を制御し、データをピンチインターフェースまたは加速度計からロボット外科手術デバイスに伝送する。本システムはさらに、追跡システムを含み、マーカを追跡し、ハンドピースの位置または向きを提供する。プロセッサは、（ｉ）追跡システムからのハンドピースの位置または向きと、（ｉｉ）加速度計からのハンドピースの測定された加速度とを受信する。プロセッサは、測定された加速度を積分し、追跡システムのそれを越える第２の位置を確立する。プロセッサは、カメラまたは加速度計から受信されたデータに基づいて、ロボットアームおよびエンドエフェクタの移動を制御する。
","特表2017-517297","","特許6542259","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-517297/11/ja"
"特表2017-517028","特願2016-562858","2015/04/17","2015/10/22","ロボットとの対話を取り扱う方法とシステム","ソフトバンク・ロボティクス・ヨーロッパ","G10L15/22,300@Z,B25J19/00@Z,G10L13/10,114","(57)【要約】
  ロボットと人間ユーザ間の音声対話を取り扱うコンピュータ実施方法が提供される。本方法は、前記音声対話中に、音声データを受信し前記音声データをテキストデータへ変換する工程と、前記テキストデータの１つまたは複数の対話モード実行規則の検証に応じて修正対話モードを選択する工程とを含み、対話モードは１つまたは複数の対話コンテンツと１つまたは複数の対話音声スキンを含み、対話コンテンツは所定文章の集合を含み、前記集合は質問文と回答文を含み、対話音声スキンは、周波数、トーン、速度およびピッチを含む音声レンダリングパラメータを含む。説明した発展形態は、対話実行規則を使用することにより対話コンテンツおよび／または対話音声スキンを（例えばロボットにより認識された環境に依存して）修正する工程と、対話コンテンツを緩和する工程とを含む。
","特表2017-517028","","特許6655552","拒絶2019-013221","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-517028/11/ja"
"特表2017-508634","特願2016-555987","2015/03/10","2015/09/17","ロボット装置を初期設定および制御するための方法","ディアメド　ゲーエムベーハー","B25J9/16,G01N35/02@A,G01N35/02@G,B25J9/10@A","(57)【要約】
  ４自由度を少なくとも有する第１ロボット（７０）およびデカルト型である第２ロボット（３０）を備えたロボット装置を初期設定および制御する方法であって、以下の工程を備える、方法。・第１ロボット（７０）を用いて、第１ロボットおよび第２ロボットが共有する作業空間に配置された少なくとも１つのエレメントに関する配置探索情報を収集する、および・収集された配置探索情報を用いて、第２ロボット（３０）をエレメントの内部またはエレメントの周りに移動させる。
【選択図】  図１
","特表2017-508634","","特許6756619","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-508634/11/ja"
"再表2015/129473","特願2016-505142","2015/02/12","2015/09/03","医療用アーム装置、キャリブレーション方法及びプログラム","ソニー株式会社","B25J9/10@A,A61B90/25,B25J13/00@Z,B25J19/04,A61B90/50,A61B34/30,B25J13/08@A","(57)【要約】
【課題】より効率的に、より高精度に内部モデルのキャリブレーションを行うことを可能にする。
【解決手段】複数のリンクが関節部によって連結されて構成され、撮像部を接続可能なアーム部、を備え、少なくとも前記アーム部の幾何情報及び前記撮像部の焦点位置情報を含む内部モデルが、前記撮像部が実空間上の基準点に向けられた状態において取得される内部モデル情報を用いて更新される、ロボットアーム装置を提供する。
【選択図】図１
","WO2015/129473","","特許6555248","","再表2015/129473","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-129473/19/ja"
"特開2015-150425","特願2015-018210","2015/02/02","2015/08/24","手術ロボット用マスター装置及びその制御方法","三星電子株式会社","A61B19/00,502,B25J13/02,B25J3/00@Z,A61B34/35,A61B34/37","(57)【要約】
【課題】  操作者の手の動作をガイドすることによって安定したロボット式手術機構のモーションを生成することができる手術ロボット用マスター装置及びその制御方法を提供する。
【解決手段】  手術ロボット用マスター装置は、スレーブ装置のロボットアームに設けられたロボット式手術機構を制御するための、少なくとも一つの多関節ロボット指を有するハンドル部と、少なくとも一つの多関節ロボット指の先端があらかじめ定義された仮想軌跡に沿って移動するように制御するための制御信号を生成するマイクロモーション生成部と、を備えることができる。
【選択図】      図１０
","特開2015-150425","","特許6538360","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-150425/11/ja"
"特開2015-147059","特願2015-062360","2015/03/25","2015/08/20","外科手術用器具アセンブリ","インテュイティブ　サージカル　インコーポレイテッド","A61B19/00,502,B25J3/00@Z,A61B34/37,A61B34/35","(57)【要約】      （修正有）
【課題】他の外科手術用器具から独立して働く複数の遠隔操作外科手術用器具を提供する。
【解決手段】外科手術用器具２４０２の遠位端２４０８は、遠隔操作外科手術用システムの他のコンポーネントとは関係なく、６つのデカルト座標自由度全てで動くことができる。外科手術用器具２４０２は、誘導チューブ２４０６を通って延びている。遠位端２４０８は、アクチュエータによって動かされ、アクチュエータは、遠隔操作で制御される。各手術用器具は、他の外科手術用器具から独立して働き、それぞれが、患者の単一の入口ポートを経由し、硬い器具本体の横方向の運動を制限する中間の組織を通過するデカルト座標空間において少なくとも６つの能動的に制御された自由度（すなわち、サージ、ヒーブ、スウェイ、ロール、ピッチ、ヨー）を有するエンドエフェクタを有する。
【選択図】図２４Ａ
","特開2015-147059","","特許6189889","拒絶2017-002791","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-147059/11/ja"
"特開2015-128681","特願2015-081414","2015/04/13","2015/07/16","低侵襲遠隔操作外科手術器具のための患者側外科医インターフェース","インテュイティブ　サージカル　オペレーションズ，　インコーポレイテッド","A61B19/00,502,B25J3/00@Z,A61B34/35,A61B34/37","(57)【要約】
【課題】低侵襲遠隔操作外科手術器具のための患者側外科医インターフェースの提供。
【解決手段】患者側外科医インターフェースは、低侵襲遠隔操作外科手術システムを使用する際、高度な能力を提供する。患者側外科医インターフェースは、外科手術の滅菌外科手術野内に構成要素を有する。構成要素によって、外科医は、滅菌外科手術野内から遠隔操作スレーブ外科手術器具を制御することが可能となる。患者側外科医インターフェースによって、外科医は、外科手術を受ける患者に隣接する滅菌外科手術野内に居ることが可能となる。滅菌外科手術野内から低侵襲スレーブ外科手術器具を制御することによって、外科医による直接的視覚化と組み合わせて、低侵襲外科手術が可能となる。患者に近接することによって、外科医は、腹腔鏡下器具等の手動制御器具の制御と並行して、遠隔操作スレーブ外科手術器具を制御することが可能となる。
【選択図】図１Ｂ
","特開2015-128681","","特許6158246","拒絶2017-004588","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-128681/11/ja"
"特開2015-120034","特願2015-043180","2015/03/05","2015/07/02","関節プローブ","メドロボティクス　コーポレイション","A61B1/00,310@D,B25J18/06,A61B19/00,502,A61B34/30,A61B1/00,714,A61B1/008","(57)【要約】
【課題】より改良された多関節のロボティックプローブ、および、その製造方法、その使用方法を提供する。
【解決手段】多関節のロボティックプローブは、外側スリーブと、内側コアとを備える。外側スリーブおよび内側コアは、複数のリンクを含む。外側スリーブおよび内側コアのリンクは、互いに対して枢動するように構成される。リンクの様々な特徴が、関節プローブの全体的な枢動角度を決定する。複数のリンクの各々は、１つ以上のチャンネルを有することができる。チャンネルは、リンクからリンクへの半連続通路を形成し、内側コア、ツール、またはケーブルなどの細長い部材を受け入れるように構成される。１つ以上のケーブルを使用して外側スリーブの外側リンクおよび内側コアの内側リンクを制御することができる。ケーブルの様々な特徴は、関節プローブの全体的な性能を決定する。
【選択図】図１３Ｂ
","特開2015-120034","","特許5864002","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-120034/11/ja"
"再表2015/093382","特願2015-520037","2014/12/11","2015/06/25","サービス提供管理システム","Ｒｅ＆Ｄｏ株式会社","G06Q50/22,110,B25J13/00@Z,G06Q50/22,G16H20/00","(57)【要約】
少人数の援助者によって大勢の利用者の必要を満たすことができ、柔軟性に富んだ介護や補助のサービス提供を行なうことにより全ての利用者が極めて容易にサービスを受けることができるサービス提供管理システムを提供する。利用者５に関する経験情報を管理する経験情報データベースと、利用者に合わせたサービスの提供を行なうサービス提供ロボットとを有し、利用者の識別情報を取得する識別情報取得手段と、当該利用者５の経験情報を引き出す経験情報検索手段と、利用者５の要求を識別する要求識別手段と、サービス提供手段と、サービスの提供に伴って得られた経験情報を前記経験情報データベースに蓄積する経験蓄積手段とを備える。
","WO2015/093382","","特許6397817","","再表2015/093382","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-093382/19/ja"
"特開2015-071219","特願2014-173173","2014/08/27","2015/04/16","マスタスレーブロボットの制御装置及び制御方法、ロボット、マスタスレーブロボットの制御プログラム、並びに、マスタスレーブロボットの制御用集積電子回路","パナソニックＩＰマネジメント株式会社","B25J3/00@A","(57)【要約】
【課題】マスタスレーブを操作している作業者が見ている画像に応じた力提示を受けることができるマスタスレーブロボットの制御装置及び制御方法、ロボット、マスタスレーブロボットの制御プログラム、並びに、マスタスレーブロボットの制御用集積電子回路を提供する。
【解決手段】マスタスレーブロボット１００の制御装置は、表示情報取得部１１１で取得した拡大率情報を基に、力情報補正部１１３において拡大率情報が大きければ大きいほど力情報を大きく補正することによって、ディスプレイ７に映し出された画像を見ながら作業者１が適切な力を加えて作業を行うことができる。
【選択図】図１
","特開2015-071219","","特許6410022","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-071219/11/ja"
"再表2015/046410","特願2015-539373","2014/09/26","2015/04/02","アイソレータシステム","パナソニックヘルスケアホールディングス株式会社","C12M1/00@K,B25J21/02,B01L1/00@D","(57)【要約】
作業空間を形成する本体ケースと、給気又は排気する空調部と、を備え、作業空間の底面は作業板で構成され、作業板の下方には排気経路が形成され、作業板は、左右に分割された第１及び第２の作業板により構成され、第１の作業板には受け部が配置され、受け部上に第２の作業板が着脱自在に載置される。
","WO2015/046410","","特許5925971","","再表2015/046410","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-046410/19/ja"
"再表2015/041046","特願2015-537631","2014/09/02","2015/03/26","位置・力制御装置、位置・力制御方法及びプログラム","学校法人慶應義塾","B25J3/00@Z,G06F3/01,560,G06F3/01,514","(57)【要約】
  ロボットによって人間の身体的行為をより適切に実現するための技術を提供すること。
  アクチュエータの作用に基づく位置に関する情報を検出する位置検出手段と、位置に関する情報に対応する速度（位置）及び力の情報と、制御の基準となる情報とに基づいて、実現される機能に応じて、制御エネルギーを速度または位置のエネルギーと力のエネルギーとに割り当てる変換を行う機能別力・速度割当変換手段と、速度または位置のエネルギーに基づいて、速度または位置の制御量を算出する位置制御量算出手段と、力のエネルギーに基づいて、力の制御量を算出する力制御量算出手段と、速度または位置の制御量と力の制御量とを統合し、その出力をアクチュエータに戻すべく速度または位置の制御量と力の制御量とを逆変換して、アクチュエータへの入力を決定する統合手段とを備える位置・力制御装置。
","WO2015/041046","","特許6382203","","再表2015/041046","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-041046/19/ja"
"再表2015/029414","特願2015-533987","2014/08/25","2015/03/05","アイソレータシステム及びその制御システム","パナソニックヘルスケアホールディングス株式会社","A61L101:22,B25J21/02,C12M1/00@K,B01L1/00@D,A61L2/20,106,A61L2/24,A61L2/18","(57)【要約】
  本体ケースと、滅菌部と、空調部と、表示部と、制御部と、記憶部と、を備え、制御部は、起動後、作業空間内の滅菌物質の濃度が所定濃度以下であるかを確認し、所定濃度を超える場合には、高濃度フラグを記憶部に記憶させ、その後、空調部の動作を点検し、空調部の動作に問題がなければ、高濃度フラグが記憶されているかを確認し、高濃度フラグが記憶されている場合には、空調部を所定時間動作させて滅菌物質の濃度を低下させ、高濃度フラグが記憶されていない場合には、空調部の動作点検を終了させる、アイソレータシステム。
","WO2015/029414","","特許5873608","","再表2015/029414","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-029414/19/ja"
"特開2015-027724","特願2014-123175","2014/06/16","2015/02/12","マスタスレーブロボットの制御装置及び制御方法、ロボット、マスタスレーブロボットの制御プログラム、並びに、マスタスレーブロボットの制御用集積電子回路","パナソニックＩＰマネジメント株式会社","B25J3/00@A","(57)【要約】
【課題】マスタスレーブを操作している作業者が見ている画像と作業者が行っている操作とが違和感なく対応する、マスタスレーブロボットの制御装置及び制御方法、ロボット、マスタスレーブロボットの制御プログラム、並びに、マスタスレーブロボットの制御用集積電子回路を提供する。
【解決手段】表示情報取得部１１３で取得した拡大率情報を用いて、作業者１が見ている画像と作業者１が行っている操作とが違和感なく対応するような力情報を力情報補正部１１４で生成し、作業者１に力情報提示部１１５で提示することによって、作業効率を向上することができる。
【選択図】図１
","特開2015-027724","","特許6473919","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-027724/11/ja"
"特開2015-016549","特願2014-140541","2014/07/08","2015/01/29","移動式ヒューマンインターフェースロボット","アイロボット　コーポレイション","B25J5/00@A,G05D1/02@J,H04N7/15,630@A,H04N7/15,H04N7/14,120,G05D1/24,G05D1/241,G05D1/242,G05D1/243,G05D1/246,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D1/639,G05D1/644,G05D105:00,G05D109:00,G05D109:12,G05D111:00,G05D111:63","(57)【要約】      （修正有）
【課題】有用な移動式ヒューマンインターフェースロボットを提供する。
【解決手段】移動式ヒューマンインターフェースロボット（１００）であって、垂直中心軸線（Ｚ）及び前方駆動方向（Ｆ）を定める基部（１２０）及び基部（１２０）によって支持されたホロノミック駆動システム（２００）を有する移動式ヒューマンインターフェースロボット（１００）。駆動システム（２００）は、第１、第２及び第３の被動駆動輪（２１０ａ，２１０ｂ，２１０ｃ）を有し、各駆動輪は、垂直中心軸線（Ｚ）回りに三角形の形に互いに間隔を置いて配置されると共に垂直中心軸線（Ｚ）に対して半径方向軸線に垂直な駆動方向を有する。ロボットは、ホロノミック駆動システム（２００）と通信状態にあるコントローラ（５００）、基部（１２０）の上方に支持された胴部（１４０）及びコントローラ（５００）と通信状態にあるタッチセンサシステム（４８０）を更に有する。
【選択図】図１
","特開2015-016549","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2015-016549/11/ja"
"特開2014-240194","特願2014-135884","2014/07/01","2014/12/25","導電性高分子複合構造体、導電性高分子複合構造体の製造方法、及び、アクチュエータ素子","イーメックス株式会社","B25J19/00@A,B32B7/02,104,B32B27/00@A,B32B27/08,B32B27/16,H01G9/02,331@E,H01M4/02@Z,H01M4/04@Z,H01M4/137,H01M4/1399,H02N11/00@Z,H01G9/022,H01G9/028@E,H01G9/15,B32B7/025","(57)【要約】
【課題】電極間にセパレータを別途設ける必要がなく、小型化、コスト低減、作業性の向上を図ることができ、耐衝撃性にも優れた導電性高分子複合構造体、及び、その製造方法、更に、前記導電性高分子複合構造体を用いたアクチュエータ素子を提供する。
【解決手段】少なくとも１層の導電性高分子層を含む導電性高分子複合構造体であって、前記導電性高分子層の表層が、絶縁層であることを特徴とする導電性高分子複合構造体。
【選択図】図４
","特開2014-240194","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2014-240194/11/ja"
"特開2014-233765","特願2013-114649","2013/05/30","2014/12/15","把持機構","富士レビオ株式会社,日本電子株式会社","B25J15/08@D,G01N35/04@G","(57)【要約】
【課題】把持対象物に対して静電気の発生やコンタミネーションの発生を抑制すると共に、把持対象物の姿勢を安定させることが可能となる、把持機構を提供すること。
【解決手段】把持機構は、キュベットＴを把持するための把持機構であって、キュベットＴを側方から挟持する挟持部５０と、挟持部５０によって挟持された状態におけるキュベットＴの上端面に対して下方に向けて押圧する押圧部６０と、を備え、挟持部５０によってキュベットＴが挟持された状態において、当該キュベットＴの鉛直方向に沿った中心軸と押圧部６０の鉛直方向に沿った中心軸とが一致するように、当該押圧部６０を配置している。
【選択図】図６
","特開2014-233765","","特許6336715","拒絶2017-012872","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2014-233765/11/ja"
"特表2016-528940","特願2016-517059","2014/05/30","2014/12/04","人間動作を補助するための軟性外骨格スーツ","プレジデント　アンド　フェローズ　オブ　ハーバード　カレッジ","A61H1/02@N,B25J11/00@Z","(57)【要約】
  動作制御システムは、作動部材を有するアクチュエータを含み、作動部材は、関節の第１の側のアクチュエータに取付けられる近端と、関節の第２の側のアンカー要素取付点に取付けられる遠端とを有する。第１のセンサは、歩容周期を規定する信号を出力するように構成され、第２のセンサは、少なくとも１つの作動部材の内部の引張力を表わす信号を出力するように構成される。コントローラは、歩容周期の第１の部分の間にセンサからの出力信号を受信してアクチュエータを作動させ、予め定められた閾値引張力よりも大きい力を作動部材を介してアンカー要素取付点に印加して、関節の周りに有益なモーメントを発生し、かつアクチュエータを自動的に作動させる。
","特表2016-528940","","特許6466420","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-528940/11/ja"
